CASEID,DOBM,DOBY,IDATMM,IDATYY,CASE,RESPID,NUMUNION,NUMMAR,NUMCOHMR,HOWBEG01,HOWEND01,COHMAR01,BEGDAT01,BEGFLG01,ENDDAT01,ENDFLG01,MARDAT01,MARFLG01,SEPDAT01,SEPFLG01,DIVDAT01,DIVFLG01,WIDDAT01,WIDFLG01,COHDAT01,COHFLG01,HOWBEG02,HOWEND02,COHMAR02,BEGDAT02,BEGFLG02,ENDDAT02,ENDFLG02,MARDAT02,MARFLG02,SEPDAT02,SEPFLG02,DIVDAT02,DIVFLG02,WIDDAT02,WIDFLG02,COHDAT02,COHFLG02,HOWBEG03,HOWEND03,COHMAR03,BEGDAT03,BEGFLG03,ENDDAT03,ENDFLG03,MARDAT03,MARFLG03,SEPDAT03,SEPFLG03,DIVDAT03,DIVFLG03,WIDDAT03,WIDFLG03,COHDAT03,COHFLG03,HOWBEG04,HOWEND04,COHMAR04,BEGDAT04,BEGFLG04,ENDDAT04,ENDFLG04,MARDAT04,MARFLG04,SEPDAT04,SEPFLG04,DIVDAT04,DIVFLG04,WIDDAT04,WIDFLG04,COHDAT04,COHFLG04,HOWBEG05,HOWEND05,COHMAR05,BEGDAT05,BEGFLG05,ENDDAT05,ENDFLG05,MARDAT05,MARFLG05,SEPDAT05,SEPFLG05,DIVDAT05,DIVFLG05,WIDDAT05,WIDFLG05,COHDAT05,COHFLG05,HOWBEG06,HOWEND06,COHMAR06,BEGDAT06,BEGFLG06,ENDDAT06,ENDFLG06,MARDAT06,MARFLG06,SEPDAT06,SEPFLG06,DIVDAT06,DIVFLG06,WIDDAT06,WIDFLG06,COHDAT06,COHFLG06,HOWBEG07,HOWEND07,COHMAR07,BEGDAT07,BEGFLG07,ENDDAT07,ENDFLG07,MARDAT07,MARFLG07,SEPDAT07,SEPFLG07,DIVDAT07,DIVFLG07,WIDDAT07,WIDFLG07,COHDAT07,COHFLG07,HOWBEG08,HOWEND08,COHMAR08,BEGDAT08,BEGFLG08,ENDDAT08,ENDFLG08,MARDAT08,MARFLG08,SEPDAT08,SEPFLG08,DIVDAT08,DIVFLG08,WIDDAT08,WIDFLG08,COHDAT08,COHFLG08,HOWBEG09,HOWEND09,COHMAR09,BEGDAT09,BEGFLG09,ENDDAT09,ENDFLG09,MARDAT09,MARFLG09,SEPDAT09,SEPFLG09,DIVDAT09,DIVFLG09,WIDDAT09,WIDFLG09,COHDAT09,COHFLG09,HOWBEG10,HOWEND10,COHMAR10,BEGDAT10,BEGFLG10,ENDDAT10,ENDFLG10,MARDAT10,MARFLG10,SEPDAT10,SEPFLG10,DIVDAT10,DIVFLG10,WIDDAT10,WIDFLG10,COHDAT10,COHFLG10,DUPFLG,M2CP01,M2DP01,BKMK2,CHKPTM,birth_month,M499A,M528,M535,M536,M537,M538,M583A,M583B,M583C,M584,E904,E1006,E1341,SAMWT,MARCOHAB,CURMARCO,coh_t,mar_t,weeks,hours,work,married,cohab,state,unil,eq,birth,age_eq,age_uni
2,2,40,12,2001,58,R,4,4,0,mar,div,did not cohab,730,Mo and yr given,783,Mo and yr given,730,Mo and yr given,778,Mo and yr given,783,Mo and yr given,,,,,mar,wid,No,822,Mo and yr given,946,Mo and yr given,822,Mo and yr given,0,Mo and yr given,,,946,Mth and yr given,,,mar,div,No,950,Mo and yr given,1131,Mo and yr given,950,Mo and yr given,1126,Mo and yr given,1131,Mo and yr given,,,,,mar,intact,No,1169,Mo and yr given,0,Mo and yr given,1169,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,482,Virginia,YES,40,INAPPLICABLE,NO,32,44,8,0,INAPPLICABLE,INAPPLICABLE,NO ANSWER,NO ANSWER,98000,MARRIED/LIVE W/SP,950,0,1,1,32,32,1,0,Virginia,0,1982,1940,42,
6,10,54,12,2001,120,R,1,1,0,mar,intact,did not cohab,896,Mo and yr given,0,Mo and yr given,896,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,658,West Virginia,NO,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,0,52,NO,INAPPLICABLE,YES,YES,196000,MARRIED/LIVE W/SP,896,0,1,0,0,0,1,0,West Virginia,1984,1985,1954,31,30
8,10,51,10,2001,133,R,1,1,0,mar,intact,did not cohab,852,Mo and yr given,0,Mo and yr given,852,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,622,District of Columbia,NO,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,0,52,NO,INAPPLICABLE,YES,YES,98000,MARRIED/LIVE W/SP,852,0,1,0,0,0,1,0,District of Columbia,0,1977,1951,26,
9,4,52,3,2002,146,R,1,1,0,mar,intact,did not cohab,852,Mo and yr given,0,Mo and yr given,852,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,628,Kentucky,YES,36,INAPPLICABLE,YES,INAPPLICABLE,4,20,28,INAPPLICABLE,INAPPLICABLE,YES,YES,98000,MARRIED/LIVE W/SP,852,0,1,.46153846,36,16.615385,1,0,Kentucky,1972,1976,1952,24,20
11,12,49,8,2001,162,R,1,1,0,mar,intact,did not cohab,947,Mo and yr given,0,Mo and yr given,947,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,600,Kentucky,YES,37,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,147000,MARRIED/LIVE W/SP,947,0,1,1,37,37,1,0,Kentucky,1972,1976,1949,27,23
13,11,45,4,2002,167,R,1,1,0,mar,intact,did not cohab,773,Mo and yr given,0,Mo and yr given,773,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,551,West Virginia,YES,43,INAPPLICABLE,NO,40,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,NO ANSWER,YES,196000,MARRIED/LIVE W/SP,773,0,1,1,40,40,1,0,West Virginia,1984,1985,1945,40,39
14,10,21,6,2001,170,R,1,1,0,mar,intact,did not cohab,513,Mo and yr given,0,Mo and yr given,513,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,MALE,COHAB NOT CIRCLED,YES,262,Pennsylvania,NO,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,0,52,NO,INAPPLICABLE,INAPPLICABLE,YES,196000,MARRIED/LIVE W/SP,513,0,1,0,0,0,1,0,Pennsylvania,0,1980,1921,59,
16,5,37,6,2001,213,R,1,1,0,mar,intact,did not cohab,711,Mo and yr given,0,Mo and yr given,711,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,MALE,COHAB NOT CIRCLED,YES,449,Virginia,YES,40,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,196000,MARRIED/LIVE W/SP,711,0,1,1,40,40,1,0,Virginia,0,1982,1937,45,
18,9,63,4,2003,250,R,2,2,1,coh,div,cohab,987,Mo and yr given,1087,Mo and yr given,1041,Mo and yr given,1082,Mo and yr given,1087,Mo and yr given,,,987,Mo and yr given,mar,intact,No,1147,Mo and yr given,0,Mo and yr given,1147,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,765,West Virginia,NO,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,0,52,NO,YES,INAPPLICABLE,YES,98000,MARRIED/LIVE W/SP,1041,1,1,0,0,0,1,0,West Virginia,1984,1985,1963,22,21
19,11,47,10,2001,268,R,4,3,1,mar,div,did not cohab,804,Mo and yr given,818,Mo and yr given,804,Mo and yr given,804,Mo and yr given,818,Mo and yr given,,,,,coh,div,Yes,914,Mo and yr given,920,Mo and yr given,915,Mo and yr given,918,Mo and yr given,920,Mo and yr given,,,914,Mo and yr given,coh,sep,No,948,Mo and yr given,966,Mo and yr given,0,Mo and yr given,966,Mo and yr given,,,,,948,Mo and yr given,mar,sep,No,1093,Mo and yr given,1197,Mo and yr given,1093,Mo and yr given,1197,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,DIVORCED,MALE,COHAB NOT CIRCLED,INAPPLICABLE,575,Kentucky,NO,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,48,4,NO,INAPPLICABLE,INAPPLICABLE,NO,196000,NOT COHAB-DIVORCED,INAPPLICABLE,1,1,.92307693,0,0,0,0,Kentucky,1972,1976,1947,29,25
